output_area,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S00122163,50,2,7,0,16,21,2,2,0
S00122164,41,0,7,0,25,6,2,1,0
S00122165,25,4,8,0,11,1,0,0,1
S00122166,56,12,12,0,30,0,2,0,0
S00122167,51,13,15,0,21,2,0,0,0
S00122168,46,9,9,0,24,1,3,0,0
S00122169,28,3,5,0,15,1,4,0,0
S00122170,49,3,7,0,33,0,4,2,0
S00122171,59,2,5,0,47,2,2,0,1
S00122172,39,3,16,0,4,2,13,1,0
S00122173,55,30,19,0,1,0,4,0,1
S00122174,71,10,14,0,41,2,4,0,0
S00122175,44,3,10,0,29,0,2,0,0
S00122176,39,9,13,0,14,0,2,1,0
S00122177,51,19,18,0,12,0,2,0,0
S00122178,52,5,5,0,39,2,1,0,0
S00122179,46,12,18,0,10,5,1,0,0
S00122180,53,12,14,0,20,0,5,1,1
S00122181,39,5,10,0,19,0,4,1,0
S00122182,54,11,9,0,32,1,1,0,0
S00122183,50,3,4,0,41,0,2,0,0
S00122184,45,3,7,0,35,0,0,0,0
S00122185,61,4,12,0,41,0,4,0,0
S00122186,81,9,11,0,48,5,7,1,0
S00122187,72,3,9,0,54,1,5,0,0
S00122188,63,8,13,0,26,11,3,0,2
S00122189,41,8,6,0,25,0,1,0,1
S00122190,67,25,39,0,1,0,1,1,0
S00122191,78,33,41,0,0,0,2,2,0
S00122192,49,7,18,0,20,2,2,0,0
S00122193,56,22,31,0,1,1,0,1,0
S00122194,59,5,20,0,25,0,7,2,0
S00122195,56,5,5,0,19,24,2,0,1
S00122196,48,7,14,0,18,8,1,0,0
S00122197,47,8,16,0,13,9,1,0,0
S00122198,46,4,5,0,16,14,6,0,1
S00122199,42,9,12,0,20,0,1,0,0
S00122200,43,3,15,0,23,0,2,0,0
S00122201,43,9,12,0,19,0,3,0,0
S00122202,54,15,18,0,16,2,3,0,0
S00122203,47,18,13,0,11,0,3,1,1
S00122204,71,8,26,0,10,16,7,2,2
S00122205,76,16,21,0,34,1,4,0,0
S00122206,45,7,13,0,11,6,6,1,1
S00122207,53,10,17,0,13,8,4,0,1
S00122208,39,7,13,0,11,4,4,0,0
S00122209,53,7,18,0,25,2,1,0,0
S00122210,43,6,6,0,30,0,0,0,1
S00122211,41,3,15,0,18,1,4,0,0
S00122212,72,11,26,0,25,1,7,2,0
S00122213,57,6,12,0,36,0,2,0,1
S00122214,67,14,27,0,19,1,5,1,0
S00122215,59,9,19,0,26,1,4,0,0
S00122216,47,11,17,0,13,1,3,1,1
S00122217,50,18,18,0,10,0,3,1,0
S00122218,65,16,22,0,17,0,6,4,0
S00122219,56,19,26,0,5,0,4,1,1
S00122220,50,36,11,0,2,0,0,0,1
S00122221,54,29,22,0,1,0,1,0,1
S00122222,60,21,36,0,0,0,1,2,0
S00122223,41,9,31,0,1,0,0,0,0
S00122224,50,16,30,0,2,0,2,0,0
S00122225,35,5,11,0,2,14,2,1,0
S00122226,38,1,3,0,4,6,24,0,0
S00122227,55,4,5,0,23,17,6,0,0
S00122228,68,2,3,0,53,4,6,0,0
S00122229,56,1,5,0,39,3,8,0,0
S00122230,49,6,8,0,30,2,3,0,0
S00122231,50,4,10,0,5,7,24,0,0
S00122232,43,4,11,0,3,20,5,0,0
S00122233,81,11,24,0,36,1,9,0,0
S00122234,55,8,8,0,29,0,6,2,2
S00122235,46,20,23,0,1,0,1,0,1
S00122236,55,3,5,0,39,1,7,0,0
S00122237,46,15,20,0,6,1,2,1,1
S00122238,66,14,28,0,17,0,6,1,0
S00122239,55,20,14,0,7,11,1,0,2
S00122240,72,17,11,0,19,18,7,0,0
S00122241,58,8,8,0,12,24,6,0,0
S00122242,51,30,17,1,3,0,0,0,0
S00122243,51,13,4,0,27,0,6,1,0
S00122244,65,26,29,0,2,1,7,0,0
S00122245,47,16,10,0,12,1,5,1,2
S00122246,48,24,20,0,1,0,3,0,0
S00122247,53,23,25,0,1,1,2,1,0
S00122248,69,12,16,0,6,15,20,0,0
S00122249,51,8,7,0,6,19,11,0,0
S00122250,52,23,12,0,2,0,15,0,0
S00122251,36,7,15,0,0,0,12,1,1
S00122252,63,26,30,0,1,0,6,0,0
S00122253,69,28,35,0,0,1,3,1,1
S00122254,52,23,22,0,1,1,4,1,0
S00122255,54,16,3,0,30,0,5,0,0
S00122256,47,16,0,0,29,0,1,0,1
S00122257,34,15,16,0,0,1,2,0,0
S00122258,56,22,27,0,2,2,2,1,0
S00122259,40,9,15,0,0,0,15,1,0
S00122260,50,22,27,0,0,0,0,1,0
S00122261,52,18,17,0,12,1,4,0,0
S00122262,45,21,14,0,7,1,1,0,1
S00122263,56,13,32,0,7,2,1,1,0
S00122264,25,5,13,1,5,0,1,0,0
S00122265,33,19,11,0,2,0,1,0,0
S00122266,44,6,15,0,17,2,4,0,0
S00122267,61,37,17,0,6,0,1,0,0
S00122268,40,4,13,0,17,0,6,0,0
S00122269,42,19,20,0,1,0,1,0,1
S00122270,44,32,12,0,0,0,0,0,0
S00122271,44,24,18,0,1,0,1,0,0
S00122272,43,11,20,0,10,0,2,0,0
S00122273,85,7,7,0,39,7,24,1,0
S00122274,45,3,3,0,8,22,8,1,0
S00122275,62,2,4,0,39,10,7,0,0
S00122276,72,19,25,0,7,1,19,0,1
S00122277,53,2,14,0,1,3,32,1,0
S00122278,45,6,10,0,10,1,18,0,0
S00122279,50,10,6,0,5,12,14,1,2
S00122280,53,8,9,0,27,0,6,1,2
S00122281,45,7,7,0,12,3,16,0,0
S00122282,43,8,11,1,10,6,4,1,2
S00122283,41,5,5,0,10,17,4,0,0
S00122284,43,8,11,1,20,0,1,2,0
S00122285,63,3,8,0,32,2,17,1,0
S00122286,35,5,10,0,1,0,19,0,0
S00122287,46,19,9,0,16,1,1,0,0
S00122288,48,16,12,0,14,1,4,1,0
S00122289,53,12,16,0,14,2,8,0,1
S00122290,43,13,7,0,13,1,9,0,0
S00122291,40,7,12,0,11,3,6,1,0
S00122292,68,12,20,0,22,1,8,4,1
S00122293,52,17,7,0,2,12,12,2,0
S00122294,66,26,7,0,4,18,11,0,0
S00122295,42,7,4,0,23,1,7,0,0
S00122296,39,4,11,0,7,6,11,0,0
S00122297,61,12,9,1,29,3,7,0,0
S00122298,59,18,28,0,8,0,4,0,1
S00122299,48,3,5,0,33,4,3,0,0
S00122300,38,1,1,0,27,4,5,0,0
S00122301,47,2,2,0,4,38,1,0,0
S00122302,43,12,13,0,2,15,1,0,0
S00122303,41,10,14,0,2,8,5,2,0
S00122304,49,9,12,0,2,23,3,0,0
S00122305,59,11,5,0,37,4,2,0,0
S00122306,55,8,26,0,3,16,2,0,0
S00122307,56,42,13,0,0,1,0,0,0
S00122308,47,8,10,0,21,0,8,0,0
S00122309,50,11,14,0,16,0,9,0,0
S00122310,62,10,16,0,15,16,5,0,0
S00122311,47,8,12,1,16,0,7,0,3
S00122312,42,9,14,0,14,0,2,3,0
S00122313,62,24,22,0,7,1,5,1,2
S00122314,39,6,8,0,20,1,3,1,0
S00122315,57,8,21,0,21,1,5,1,0
S00122316,45,2,4,0,35,2,2,0,0
S00122317,50,7,16,0,27,0,0,0,0
S00122318,41,13,13,0,12,0,3,0,0
S00122319,59,9,19,0,26,0,5,0,0
S00122320,54,19,18,0,14,1,2,0,0
S00122321,50,12,23,0,10,0,4,1,0
S00122322,69,18,29,0,20,0,2,0,0
S00122323,63,12,26,1,19,0,3,2,0
S00122324,36,10,16,1,2,0,5,2,0
S00122325,44,12,17,0,11,2,2,0,0
S00122326,67,24,26,1,16,0,0,0,0
S00122327,64,3,7,0,27,17,8,1,1
S00122328,52,5,12,0,30,1,4,0,0
S00122329,26,2,4,0,16,1,3,0,0
S00122330,57,11,17,0,23,0,6,0,0
S00122331,52,9,21,0,14,3,5,0,0
S00122332,48,5,15,0,20,0,8,0,0
S00122333,41,5,12,0,11,8,4,1,0
S00122334,47,10,17,0,17,0,3,0,0
S00122335,34,6,25,1,0,0,2,0,0
S00122336,47,5,15,0,24,0,3,0,0
S00122337,44,11,13,0,14,0,4,0,2
S00122338,43,8,11,0,20,0,2,0,2
S00122339,46,5,10,0,28,1,2,0,0
S00122340,40,12,16,0,6,1,5,0,0
S00122341,49,2,7,0,34,1,3,0,2
S00122342,73,17,10,0,41,1,4,0,0
S00122343,58,4,7,0,43,2,2,0,0
S00122344,48,1,11,0,34,1,1,0,0
S00122345,30,3,3,0,23,0,1,0,0
S00122346,53,3,5,0,29,10,6,0,0
S00122347,51,3,31,0,9,0,8,0,0
S00122348,57,22,32,0,1,0,2,0,0
S00122349,71,31,22,0,5,2,9,2,0
S00122350,56,10,15,0,8,9,14,0,0
S00122351,41,2,9,0,26,1,3,0,0
S00122352,49,9,7,1,7,21,4,0,0
S00122353,49,11,12,0,23,0,3,0,0
S00122354,58,20,21,0,15,0,2,0,0
S00122355,76,24,22,0,21,2,7,0,0
S00122356,74,17,18,0,20,0,17,2,0
S00122357,71,10,8,0,16,22,14,1,0
S00122358,74,15,29,0,4,3,19,2,2
S00122359,42,16,13,0,6,1,3,2,1
S00122360,32,21,6,0,3,1,1,0,0
S00122361,52,21,19,0,8,0,3,0,1
S00122362,60,32,21,0,2,1,3,1,0
S00122363,44,14,22,0,3,0,4,0,1
S00122364,48,18,9,0,15,2,4,0,0
S00122365,41,9,11,1,14,1,5,0,0
S00122366,51,2,5,0,27,16,1,0,0
S00122367,67,16,21,0,20,0,10,0,0
S00122368,39,11,16,0,9,0,3,0,0
S00122369,47,8,11,0,23,0,2,2,1
S00122370,76,44,25,0,3,1,2,1,0
S00122371,45,18,20,0,1,0,6,0,0
S00122372,80,17,20,0,35,1,6,0,1
S00122373,53,9,10,0,22,0,9,3,0
S00122374,74,39,30,0,2,1,2,0,0
S00122375,67,44,19,0,1,1,2,0,0
S00122376,57,21,19,0,10,0,6,0,1
S00122377,51,16,27,0,5,0,3,0,0
S00122378,54,16,29,1,5,0,3,0,0
S00122379,41,10,5,0,16,0,7,2,1
S00122380,52,8,14,1,24,0,5,0,0
S00122381,46,3,18,0,20,0,4,1,0
S00122382,34,5,5,0,19,1,2,0,2
S00122383,54,10,11,0,26,1,5,1,0
S00122384,43,3,25,0,2,2,10,1,0
S00122385,46,13,13,0,14,0,4,1,1
S00122386,44,3,6,0,27,3,5,0,0
S00122387,45,10,10,0,16,2,7,0,0
S00122388,49,9,18,0,9,6,7,0,0
S00122389,56,3,13,0,35,0,5,0,0
S00122390,69,7,11,0,47,0,4,0,0
S00122391,66,12,14,0,33,1,6,0,0
S00122392,47,14,25,0,8,0,0,0,0
S00122393,50,14,18,0,14,0,4,0,0
S00122394,52,6,9,0,34,0,3,0,0
S00122395,58,7,14,0,34,0,3,0,0
S00122396,60,4,7,0,46,0,3,0,0
S00122397,57,3,8,0,44,0,2,0,0
S00122398,50,7,14,0,24,0,4,0,1
S00122399,47,6,17,0,18,2,4,0,0
S00122400,38,8,13,0,14,0,3,0,0
S00122401,77,11,22,1,11,2,27,3,0
S00122402,52,10,15,0,24,1,2,0,0
S00122403,46,9,15,0,3,14,5,0,0
S00122404,62,10,19,0,2,27,4,0,0
S00122405,29,4,11,0,1,12,1,0,0
S00122406,56,14,15,0,5,21,1,0,0
S00122407,51,4,7,0,3,33,4,0,0
S00122408,59,7,24,0,4,19,3,2,0
S00122409,59,14,20,0,4,17,3,1,0
S00122410,48,6,14,0,7,21,0,0,0
S00122411,57,9,23,0,6,13,5,0,1
S00122412,60,14,20,0,3,14,8,1,0
S00122413,61,16,35,0,0,2,7,1,0
S00122414,47,21,23,0,1,0,2,0,0
S00122415,46,16,28,0,0,0,2,0,0
S00122416,47,17,25,0,1,1,2,0,1
S00122417,52,20,22,0,0,0,10,0,0
S00122418,54,26,22,0,0,1,5,0,0
S00122419,70,20,23,0,4,18,5,0,0
S00122420,65,21,40,0,0,0,3,1,0
S00122421,49,22,24,0,0,1,1,1,0
S00122422,29,15,14,0,0,0,0,0,0
S00122423,67,34,29,0,3,0,1,0,0
S00122424,45,16,22,0,1,0,5,1,0
S00122425,69,44,22,0,3,0,0,0,0
S00122426,27,11,13,0,0,0,3,0,0
S00122427,37,8,16,0,0,1,12,0,0
S00122428,50,12,12,0,21,0,5,0,0
S00122429,58,8,15,0,4,28,2,1,0
S00122430,66,2,11,1,7,41,4,0,0
S00122431,63,11,19,0,5,21,5,1,1
S00122432,73,6,25,0,11,27,4,0,0
S00122433,34,7,8,0,6,12,0,1,0
S00122434,25,3,6,0,2,10,3,1,0
S00122435,23,5,9,0,2,6,1,0,0
S00122436,71,4,7,1,33,24,1,1,0
S00122437,73,23,18,0,4,15,11,0,2
S00122438,46,8,17,0,14,1,4,2,0
S00122439,40,15,13,1,10,0,0,0,1
S00122440,42,9,12,0,16,0,5,0,0
S00122441,50,20,20,0,2,6,2,0,0
S00122442,49,8,16,0,23,0,1,0,1
S00122443,54,7,17,0,26,1,3,0,0
S00122444,49,8,15,0,21,2,3,0,0
S00122445,38,5,14,0,18,0,1,0,0
S00122446,49,7,12,0,26,1,3,0,0
S00122447,44,3,9,0,29,1,1,0,1
S00122448,61,7,15,0,38,0,1,0,0
S00122449,54,2,4,0,46,0,1,1,0
S00122450,37,4,6,0,10,16,1,0,0
S00122451,75,15,21,0,33,3,2,1,0
S00122452,63,16,19,0,26,1,1,0,0
S00122453,55,7,10,0,35,2,1,0,0
S00122454,26,3,9,0,11,1,1,0,1
S00122455,37,13,11,1,11,1,0,0,0
S00122456,48,7,10,0,22,1,7,0,1
S00122457,48,10,5,0,25,0,8,0,0
S00122458,40,10,7,0,22,0,1,0,0
S00122459,43,9,6,0,14,6,3,3,2
S00122460,47,6,13,0,13,0,15,0,0
S00122461,64,15,15,0,30,0,4,0,0
S00122462,69,35,31,0,0,0,2,1,0
S00122463,60,7,20,0,29,1,3,0,0
S00122464,66,17,17,0,25,0,6,1,0
S00122465,60,27,20,0,2,5,2,1,3
S00122466,51,12,13,0,17,3,6,0,0
S00122467,52,21,19,0,8,0,2,2,0
S00122468,80,12,11,0,49,6,2,0,0
S00122469,65,11,8,0,42,1,3,0,0
S00122470,51,9,23,0,4,9,2,3,1
S00122471,50,12,20,0,3,10,3,1,1
S00122472,42,5,11,0,23,1,2,0,0
S00122473,38,9,8,0,18,0,3,0,0
S00122474,69,21,29,0,2,8,6,2,1
S00122475,69,15,18,0,29,1,5,1,0
S00122476,54,13,20,0,20,1,0,0,0
S00122477,35,1,2,0,2,29,0,0,1
S00122478,77,14,36,0,22,2,3,0,0
S00122479,42,17,11,0,9,0,4,1,0
S00122480,67,13,13,0,19,17,3,2,0
S00122481,40,9,14,0,14,0,2,0,1
S00122482,44,13,16,0,13,0,1,0,1
S00122483,42,25,14,0,2,0,0,0,1
S00122484,42,13,16,0,9,0,4,0,0
S00122485,47,8,16,0,22,0,1,0,0
S00122486,44,10,14,0,18,0,0,1,1
S00122487,40,5,9,0,24,0,2,0,0
S00122488,48,7,20,0,17,1,2,1,0
S00122489,46,10,11,0,20,1,3,1,0
S00122490,41,6,13,0,18,1,2,1,0
S00122491,43,5,9,0,12,14,3,0,0
S00122492,43,6,10,0,23,1,1,1,1
S00122493,51,11,18,0,19,1,2,0,0
S00122494,45,10,13,0,18,3,1,0,0
S00122495,45,20,6,0,18,0,0,0,1
S00122496,48,6,17,0,16,9,0,0,0
S00122497,55,38,15,0,1,0,1,0,0
S00122498,45,3,13,0,7,13,6,1,2
S00122499,63,37,23,0,0,1,1,0,1
S00122500,61,34,22,0,1,0,2,0,2
S00122501,42,29,12,0,1,0,0,0,0
S00122502,45,2,35,2,2,0,4,0,0
S00122503,38,19,17,0,1,0,0,0,1
S00122504,46,4,13,0,18,0,10,1,0
S00122505,54,9,8,0,30,0,6,1,0
S00122506,44,6,17,0,15,0,3,2,1
S00122507,73,43,26,0,1,0,3,0,0
S00122508,65,38,19,0,0,1,5,2,0
S00122509,52,31,21,0,0,0,0,0,0
S00122510,56,40,13,1,0,0,2,0,0
S00122511,48,29,17,0,0,0,1,0,1
S00122512,64,43,19,0,2,0,0,0,0
S00122513,35,26,8,0,1,0,0,0,0
S00122514,47,28,16,0,1,0,0,1,1
S00122515,35,12,16,0,1,0,4,2,0
S00122516,54,24,21,1,2,0,5,0,1
S00122517,42,19,22,0,0,0,0,0,1
S00122518,32,19,12,0,0,0,1,0,0
S00122519,50,25,12,0,2,0,6,0,5
S00122520,40,18,17,0,2,0,0,1,2
S00122521,69,28,20,0,4,4,11,2,0
S00122522,50,17,17,0,9,0,6,1,0
S00122523,53,31,19,0,2,0,1,0,0
S00122524,44,10,15,0,0,0,18,1,0
S00122525,55,21,18,0,7,1,6,0,2
S00122526,43,15,13,0,1,0,9,3,2
S00122527,36,13,19,0,1,0,2,0,1
S00122528,64,19,33,0,6,0,6,0,0
S00122529,49,7,30,0,10,0,1,1,0
S00122530,43,7,7,3,4,9,13,0,0
S00122531,48,26,20,0,1,0,1,0,0
S00122532,49,20,23,0,1,0,5,0,0
S00122533,46,9,10,0,25,0,1,0,1
S00122534,56,28,24,0,2,0,2,0,0
S00122535,42,16,7,0,18,0,1,0,0
S00122536,48,20,17,0,6,0,4,1,0
S00122537,44,15,17,0,9,0,3,0,0
S00122538,42,4,8,0,22,1,6,0,1
S00122539,39,7,19,0,7,0,3,2,1
S00122540,36,12,8,0,13,0,2,0,1
S00122541,46,9,12,0,23,0,1,1,0
S00122542,29,3,22,0,1,0,3,0,0
S00122543,63,14,24,0,22,0,1,1,1
S00122544,69,8,57,0,4,0,0,0,0
S00122545,63,14,5,0,38,1,4,1,0
S00122546,40,5,12,0,22,0,0,0,1
S00122547,57,3,4,0,46,0,4,0,0
S00122548,45,21,7,0,11,0,5,1,0
S00122549,58,12,19,0,18,0,7,1,1
S00122550,88,24,18,0,39,0,7,0,0
S00122551,59,14,16,0,25,0,4,0,0
S00122552,41,10,12,0,16,0,2,0,1
S00122553,48,11,8,0,25,0,4,0,0
S00122554,48,14,21,0,3,0,9,0,1
S00122555,43,10,11,0,21,0,1,0,0
S00122556,60,10,13,0,35,1,0,1,0
S00122557,42,11,9,0,19,0,3,0,0
S00122558,75,12,26,0,36,0,1,0,0
S00122559,63,13,13,0,33,0,3,0,1
S00122560,75,17,13,0,39,0,6,0,0
S00122561,65,14,21,0,29,0,1,0,0
S00122562,76,9,11,0,12,42,2,0,0
S00122563,64,7,22,0,32,1,1,0,1
S00122564,71,18,18,0,19,12,4,0,0
S00122565,71,22,30,0,5,8,6,0,0
S00122566,56,16,30,0,1,0,8,1,0
S00122567,75,20,28,0,2,0,18,4,3
S00122568,60,18,13,0,23,0,6,0,0
S00122569,28,13,8,0,1,0,4,2,0
S00122570,47,19,25,0,1,0,1,1,0
S00122571,49,19,23,0,0,1,3,2,1
S00122572,51,33,15,0,1,0,1,0,1
S00122573,60,21,32,0,0,0,5,2,0
S00122574,51,6,16,1,23,0,4,1,0
S00122575,42,11,16,0,15,0,0,0,0
S00122576,55,10,18,0,24,0,3,0,0
S00122577,45,12,9,0,24,0,0,0,0
S00122578,38,12,19,0,0,1,6,0,0
S00122579,44,12,18,0,13,0,1,0,0
S00122580,39,3,13,0,9,14,0,0,0
S00122581,50,18,21,1,0,0,6,3,1
S00122582,49,3,7,0,38,1,0,0,0
S00122583,42,3,6,0,20,10,2,0,1
S00122584,44,4,14,0,24,1,1,0,0
S00122585,43,7,7,0,26,0,3,0,0
S00122586,52,10,10,0,29,1,2,0,0
S00122587,71,33,34,0,2,0,1,1,0
S00122588,68,27,38,0,1,0,2,0,0
S00122589,44,14,3,0,21,0,3,1,2
S00122590,44,8,4,0,26,1,4,1,0
S00122591,40,11,6,0,16,0,3,2,2
S00122592,65,16,31,0,4,1,12,1,0
S00122593,52,9,15,0,25,0,2,1,0
S00122594,37,4,10,0,22,0,1,0,0
S00122595,53,2,9,0,41,0,0,0,1
S00122596,46,5,10,0,29,0,2,0,0
S00122597,42,3,6,0,33,0,0,0,0
S00122598,42,5,9,0,25,0,3,0,0
S00122599,46,10,7,0,21,7,1,0,0
S00122600,50,3,18,0,28,1,0,0,0
S00122601,50,11,20,0,15,1,2,1,0
S00122602,69,15,28,0,22,0,4,0,0
S00122603,66,23,16,0,25,1,1,0,0
S00122604,62,9,17,0,36,0,0,0,0
S00122605,47,20,9,0,14,3,1,0,0
S00122606,57,14,19,0,10,1,12,0,1
S00122607,54,2,7,0,43,1,1,0,0
S00122608,37,4,16,0,3,0,14,0,0
S00122609,44,5,10,0,17,9,2,1,0
S00122610,44,21,20,0,2,0,1,0,0
S00122611,41,25,15,0,0,0,1,0,0
S00122612,62,15,31,0,1,1,13,1,0
S00122613,73,12,16,0,29,4,10,2,0
S00122614,44,12,15,0,4,1,12,0,0
S00122615,27,13,11,0,1,1,1,0,0
S00122616,62,11,5,0,4,39,3,0,0
S00122617,34,8,13,0,2,2,7,2,0
S00122618,55,3,16,4,5,27,0,0,0
S00122619,51,14,20,0,7,3,7,0,0
S00122620,40,6,11,0,20,0,2,1,0
S00122621,47,3,9,0,32,0,3,0,0
S00122622,66,20,15,0,29,0,1,0,1
S00122623,50,12,6,0,32,0,0,0,0
S00122624,56,15,16,0,22,2,1,0,0
S00122625,34,12,9,0,11,0,1,1,0
S00122626,53,14,11,0,26,0,1,0,1
S00122627,47,8,12,0,22,2,3,0,0
S00122628,50,5,18,0,26,0,1,0,0
S00122629,42,10,10,0,19,1,2,0,0
S00122630,56,9,11,0,31,1,4,0,0
S00122631,67,24,39,0,1,0,3,0,0
S00122632,73,22,34,0,14,0,3,0,0
S00122633,69,23,44,0,0,0,1,1,0
S00122634,50,10,16,0,22,1,1,0,0
S00122635,50,21,28,0,0,1,0,0,0
S00122636,49,11,33,0,2,0,2,1,0
S00122637,47,7,36,0,2,0,2,0,0
S00122638,24,2,18,0,0,0,4,0,0
S00122639,71,19,43,0,2,0,7,0,0
S00122640,45,15,24,0,2,0,2,2,0
S00122641,40,13,9,0,18,0,0,0,0
S00122642,49,4,6,0,37,0,2,0,0
S00122643,48,6,13,0,27,0,2,0,0
S00122644,39,5,7,0,24,0,3,0,0
S00122645,51,7,19,0,19,0,5,0,1
S00122646,40,9,7,0,20,0,2,2,0
S00122647,47,4,12,0,29,0,2,0,0
S00122648,62,13,17,0,28,0,3,0,1
S00122649,42,2,10,0,30,0,0,0,0
S00122650,38,13,11,0,0,5,7,1,1
S00122651,53,38,13,0,1,0,0,0,1
S00122652,48,18,18,0,6,1,1,3,1
S00122653,54,14,20,0,4,2,14,0,0
S00122654,69,12,15,0,38,0,2,1,1
S00122655,69,38,28,0,1,0,1,0,1
S00122656,74,4,14,0,52,1,2,1,0
S00122657,69,18,23,0,3,22,1,0,2
S00122658,67,12,11,0,33,1,8,1,1
S00122659,52,9,23,0,5,12,2,0,1
S00122660,43,15,17,0,0,0,7,2,2
S00122661,55,13,21,0,12,0,6,2,1
S00122662,65,23,32,0,9,0,1,0,0
S00122663,65,19,19,0,22,1,1,2,1
S00122664,54,18,25,0,8,0,2,1,0
S00122665,66,17,20,0,29,0,0,0,0
S00122666,60,11,23,0,23,1,1,1,0
S00122667,68,27,29,0,5,0,7,0,0
S00122668,72,10,28,0,32,0,1,1,0
S00122669,68,20,20,0,23,0,2,1,2
S00122670,42,8,21,0,10,1,2,0,0
S00122671,53,24,26,0,0,1,0,2,0
S00122672,41,25,16,0,0,0,0,0,0
S00122673,44,29,8,0,1,0,4,0,2
S00122674,49,28,12,0,1,0,7,0,1
S00122675,52,29,15,0,0,1,4,0,3
S00122676,36,7,4,0,5,16,4,0,0
S00122677,39,6,5,0,5,19,4,0,0
S00122678,75,38,10,1,1,4,20,1,0
S00122679,60,24,16,0,1,2,15,1,1
S00122680,26,14,6,0,2,0,3,0,1
S00122681,53,25,12,0,2,2,10,1,1
S00122682,48,16,12,0,2,16,2,0,0
S00122683,46,20,11,0,6,6,3,0,0
S00122684,52,33,11,0,0,0,6,0,2
S00122685,68,42,23,0,0,0,1,1,1
S00122686,50,36,13,0,0,0,0,1,0
S00122687,34,15,14,0,1,0,3,0,1
S00122688,58,32,23,0,2,0,1,0,0
S00122689,42,22,8,0,0,2,8,2,0
S00122690,54,21,31,0,0,0,2,0,0
S00122691,74,45,19,0,0,0,6,1,3
S00122692,60,17,22,0,8,0,11,1,1
S00122693,67,18,23,0,18,0,7,1,0
S00122694,44,17,4,0,16,0,3,0,4
S00122695,40,25,13,0,0,0,1,0,1
S00122696,51,31,17,0,1,0,1,1,0
S00122697,54,31,14,0,0,0,7,1,1
S00122698,66,37,28,0,0,0,1,0,0
S00122699,54,27,23,1,0,0,2,0,1
S00122700,75,55,14,0,0,0,4,0,2
S00122701,52,31,13,0,0,0,8,0,0
S00122702,40,29,7,0,0,0,3,1,0
S00122703,44,21,19,0,1,0,2,0,1
S00122704,70,28,30,1,1,0,7,1,2
S00122705,78,60,6,0,0,0,8,3,1
S00122706,81,43,16,0,0,0,16,2,4
S00122707,57,30,19,0,1,0,4,0,3
S00122708,46,13,17,0,0,1,11,2,2
S00122709,44,15,16,0,0,0,11,1,1
S00122710,32,10,8,0,1,0,11,0,2
S00122711,49,16,12,0,1,0,15,5,0
S00122712,73,31,15,0,0,0,25,1,1
S00122713,40,28,5,0,0,0,7,0,0
S00122714,24,13,10,0,0,0,0,1,0
S00122715,48,8,24,0,1,0,13,1,1
S00122716,53,25,19,1,2,0,6,0,0
S00122717,70,19,13,0,19,1,14,2,2
S00122718,43,24,17,0,0,0,2,0,0
S00122719,38,23,15,0,0,0,0,0,0
S00122720,74,43,16,0,1,1,11,0,2
S00122721,70,34,31,0,0,0,2,1,2
S00122722,70,39,28,0,0,0,1,0,2
S00122723,68,40,23,0,1,0,3,0,1
S00122724,53,36,14,0,0,0,2,0,1
S00122725,59,42,16,0,0,1,0,0,0
S00122726,57,43,10,1,1,0,0,0,2
S00122727,59,40,15,0,0,1,2,0,1
S00122728,59,37,18,0,0,0,2,1,1
S00122729,73,58,14,0,0,0,1,0,0
S00122730,76,49,15,0,0,0,9,2,1
S00122731,57,31,6,0,2,0,15,1,2
S00122732,60,24,32,0,0,0,3,0,1
S00122733,51,15,31,0,0,0,5,0,0
S00122734,70,19,38,0,1,0,8,3,1
S00122735,44,29,14,0,0,0,0,0,1
S00122736,46,28,18,0,0,0,0,0,0
S00122737,41,25,14,0,0,0,2,0,0
S00122738,59,37,17,0,1,0,3,1,0
S00122739,24,12,9,0,0,0,2,1,0
S00122740,29,17,11,0,0,0,0,0,1
S00122741,49,25,23,0,0,0,1,0,0
S00122742,62,24,15,0,0,12,6,3,2
S00122743,31,10,16,0,3,0,1,0,1
S00122744,76,27,22,0,8,0,19,0,0
S00122745,64,14,16,0,2,2,28,1,1
S00122746,39,12,9,0,1,0,15,2,0
S00122747,86,21,23,0,12,0,28,2,0
S00122748,53,12,14,0,0,1,23,3,0
S00122749,57,17,22,1,1,0,14,0,2
S00122750,80,35,16,0,13,0,14,0,2
S00122751,45,11,15,0,14,0,5,0,0
S00122752,61,18,19,1,18,0,4,0,1
S00122753,33,6,12,0,8,0,5,0,2
S00122754,54,7,16,0,13,12,5,0,1
S00122755,24,14,9,0,0,1,0,0,0
S00122756,29,15,10,1,1,0,0,1,1
S00122757,56,12,28,0,14,0,2,0,0
S00122758,58,25,16,0,1,0,15,0,1
S00122759,43,14,17,0,9,2,1,0,0
S00122760,43,13,23,0,1,0,4,1,1
S00122761,72,26,28,0,13,1,4,0,0
S00122762,74,16,41,0,14,0,2,1,0
S00122763,72,15,28,0,24,0,5,0,0
S00122764,56,21,33,0,2,0,0,0,0
S00122765,72,25,30,0,8,0,8,1,0
S00122766,71,14,33,1,14,0,7,1,1
